weather,visibility,road_type,lighting,traffic_density,speed_limit,time_of_day,accident_risk
Rain,1.591,Rural,Night-lit,Very High,100,Afternoon,High
Storm,2.479,Urban,Daylight,Very High,50,Morning,High
Drizzle,4.972,Highway,Daylight,Low,50,Morning,Low
Clear,2.612,Urban,Daylight,Low,80,Evening,Medium
Fog,4.083,Urban,Night-lit,High,80,Morning,High
Drizzle,7.779,Highway,Daylight,High,100,Night,High
Rain,4.484,Urban,Daylight,High,60,Morning,Medium
Drizzle,5.445,Urban,Night-lit,Low,80,Evening,Medium
Drizzle,3.356,Urban,Night-lit,Medium,60,Afternoon,Medium
Clear,9.853,Rural,Daylight,Very High,50,Afternoon,Medium
Drizzle,5.938,Urban,Daylight,Very High,40,Evening,Medium
Clear,6.857,Intersection,Night-lit,High,50,Night,Medium
Clear,2.15,Urban,Daylight,Low,80,Night,Medium
Clear,5.275,Highway,Daylight,High,60,Evening,Medium
Clear,9.46,Highway,Night-lit,Low,60,Morning,Medium
Rain,3.679,Urban,Daylight,Medium,80,Morning,High
Fog,3.827,Urban,Daylight,High,30,Morning,Medium
Rain,1.707,Urban,Daylight,Very High,60,Morning,High
Drizzle,5.429,Urban,Night-lit,High,60,Morning,Medium
Fog,9.795,Intersection,Dawn/Dusk,High,40,Evening,High
Drizzle,7.963,Urban,Night-unlit,Medium,50,Evening,Medium
Clear,5.292,Highway,Daylight,Medium,30,Afternoon,Low
Rain,3.578,Highway,Night-lit,High,30,Afternoon,Medium
Clear,5.0,Rural,Daylight,Medium,30,Morning,Low
Clear,3.77,Intersection,Night-lit,Very High,60,Morning,Medium
Rain,0.508,Rural,Daylight,Medium,40,Morning,Medium
Fog,6.74,Highway,Daylight,Medium,40,Evening,Medium
Rain,5.444,Urban,Daylight,Medium,60,Afternoon,Medium
Clear,5.174,Highway,Night-unlit,Very High,60,Afternoon,High
Fog,5.569,Highway,Night-lit,Low,50,Morning,High
Drizzle,4.977,Intersection,Daylight,Low,80,Morning,Medium
Drizzle,5.186,Highway,Daylight,Low,60,Afternoon,Low
Drizzle,5.038,Rural,Night-unlit,Medium,80,Evening,High
Rain,7.045,Urban,Night-lit,Very High,30,Evening,High
Clear,6.865,Rural,Daylight,High,100,Evening,Medium
Drizzle,5.749,Highway,Daylight,Very High,60,Evening,Medium
Fog,5.766,Urban,Daylight,Low,100,Evening,High
Rain,6.578,Urban,Dawn/Dusk,Low,80,Afternoon,High
Clear,6.013,Urban,Night-lit,High,40,Morning,Medium
Clear,5.177,Urban,Night-lit,Low,40,Night,Low
Drizzle,7.201,Intersection,Night-lit,High,60,Afternoon,High
Clear,4.229,Urban,Daylight,High,60,Morning,Medium
Storm,5.657,Highway,Dawn/Dusk,Low,50,Morning,Medium
Rain,5.2,Intersection,Night-unlit,Low,30,Afternoon,Medium
Drizzle,7.984,Rural,Night-lit,Medium,100,Afternoon,Medium
Clear,1.561,Urban,Night-lit,Medium,50,Afternoon,Medium
Rain,3.202,Highway,Night-lit,High,80,Morning,Medium
Clear,4.562,Intersection,Daylight,Medium,50,Morning,Medium
Drizzle,5.594,Intersection,Daylight,Very High,50,Night,Medium
Clear,6.718,Urban,Night-lit,High,50,Evening,Medium
Drizzle,7.433,Intersection,Night-unlit,Medium,80,Morning,High
Rain,4.671,Urban,Daylight,High,60,Morning,High
Clear,4.016,Highway,Daylight,High,60,Afternoon,Medium
Rain,7.309,Urban,Daylight,Medium,50,Evening,Medium
Clear,4.752,Intersection,Daylight,Very High,80,Morning,High
Rain,4.002,Intersection,Daylight,Medium,100,Evening,High
Clear,4.826,Rural,Daylight,Medium,80,Morning,Medium
Drizzle,3.256,Urban,Daylight,Low,80,Night,Low
Clear,4.739,Rural,Daylight,Low,50,Morning,Low
Clear,4.202,Intersection,Night-unlit,Very High,80,Afternoon,High
Fog,4.75,Urban,Night-unlit,High,50,Afternoon,High
Drizzle,8.37,Urban,Night-unlit,High,50,Afternoon,Medium
Drizzle,5.59,Rural,Night-lit,Medium,60,Afternoon,High
Rain,4.44,Highway,Night-unlit,Medium,60,Morning,High
Rain,7.773,Highway,Daylight,High,50,Morning,Medium
Drizzle,3.184,Intersection,Daylight,Low,80,Evening,Medium
Clear,3.399,Rural,Night-unlit,Low,60,Night,Medium
Clear,3.095,Rural,Dawn/Dusk,High,30,Afternoon,Medium
Drizzle,3.579,Rural,Daylight,High,60,Night,Medium
Clear,2.35,Urban,Daylight,High,80,Morning,High
Storm,8.807,Highway,Dawn/Dusk,Low,100,Morning,High
Clear,6.682,Intersection,Dawn/Dusk,Medium,40,Evening,Medium
Storm,3.981,Rural,Daylight,Low,80,Evening,High
Clear,7.378,Intersection,Daylight,Medium,30,Evening,Medium
Drizzle,3.202,Urban,Daylight,High,60,Morning,Medium
Rain,3.642,Intersection,Night-unlit,High,30,Afternoon,High
Rain,6.618,Rural,Night-lit,Low,30,Night,Medium
Rain,7.32,Urban,Daylight,High,50,Morning,Medium
Storm,5.672,Highway,Daylight,Medium,50,Evening,Medium
Clear,5.978,Rural,Night-lit,Low,50,Evening,Medium
Clear,6.556,Highway,Night-lit,Low,50,Morning,Low
Clear,8.065,Urban,Dawn/Dusk,Medium,40,Morning,Low
Clear,6.167,Urban,Dawn/Dusk,Very High,60,Afternoon,Low
Clear,5.332,Highway,Daylight,Low,30,Evening,Low
Fog,5.139,Intersection,Night-lit,Low,30,Morning,Medium
Fog,8.578,Intersection,Daylight,Very High,40,Night,High
Storm,4.409,Intersection,Dawn/Dusk,Medium,50,Evening,High
Rain,2.148,Highway,Night-unlit,Medium,30,Evening,High
Clear,4.424,Urban,Night-unlit,Medium,50,Evening,Medium
Clear,6.322,Rural,Night-lit,Very High,60,Morning,Medium
Rain,6.709,Urban,Dawn/Dusk,High,80,Afternoon,High
Drizzle,6.348,Rural,Daylight,Medium,60,Night,Medium
Clear,4.334,Urban,Dawn/Dusk,Very High,50,Evening,Medium
Storm,4.834,Rural,Daylight,High,30,Afternoon,Medium
Rain,3.524,Highway,Daylight,Medium,40,Morning,Medium
Drizzle,3.909,Urban,Night-unlit,Very High,80,Night,High
Clear,6.471,Urban,Night-lit,Very High,100,Night,High
Rain,6.288,Highway,Night-lit,Medium,80,Night,High
Clear,5.811,Rural,Daylight,Medium,80,Night,Medium
Drizzle,5.046,Urban,Night-lit,Low,80,Afternoon,Medium
Drizzle,5.829,Intersection,Night-unlit,Very High,80,Night,High
Drizzle,5.697,Highway,Night-lit,High,80,Afternoon,Medium
Drizzle,8.804,Highway,Daylight,Low,50,Night,Medium
Rain,4.07,Urban,Night-unlit,Very High,60,Morning,High
Rain,7.367,Intersection,Dawn/Dusk,High,80,Morning,High
Clear,2.784,Rural,Dawn/Dusk,Medium,60,Night,Medium
Fog,7.663,Urban,Daylight,High,40,Evening,High
Drizzle,6.524,Urban,Night-lit,High,40,Morning,Medium
Fog,5.675,Intersection,Daylight,Low,60,Night,Medium
Fog,4.719,Highway,Night-lit,Very High,30,Afternoon,Medium
Rain,3.284,Highway,Dawn/Dusk,Low,60,Evening,High
Storm,6.497,Urban,Night-lit,Low,80,Afternoon,High
Clear,4.995,Highway,Dawn/Dusk,Very High,30,Morning,Medium
Clear,4.153,Highway,Night-lit,Low,40,Morning,Low
Fog,3.224,Rural,Night-unlit,Low,30,Morning,Medium
Rain,4.859,Highway,Dawn/Dusk,Very High,60,Night,High
Clear,6.677,Intersection,Daylight,Low,80,Morning,Medium
Drizzle,2.572,Highway,Daylight,Very High,40,Night,High
Rain,7.898,Urban,Night-lit,Low,80,Night,High
Rain,4.799,Intersection,Night-lit,High,60,Afternoon,High
Drizzle,7.057,Intersection,Daylight,High,50,Afternoon,Medium
Rain,10.0,Urban,Night-lit,Low,50,Evening,Medium
Clear,5.108,Intersection,Night-lit,Medium,80,Afternoon,Medium
Rain,3.822,Urban,Night-lit,Medium,50,Night,High
Drizzle,5.681,Urban,Daylight,High,30,Morning,Low
Clear,6.905,Urban,Night-unlit,High,80,Evening,High
Clear,2.831,Rural,Night-lit,High,60,Afternoon,High
Clear,7.159,Rural,Night-unlit,Medium,50,Evening,Medium
Fog,5.513,Rural,Daylight,Medium,100,Evening,High
Clear,4.681,Intersection,Daylight,Low,60,Morning,Medium
Drizzle,5.88,Rural,Dawn/Dusk,Medium,80,Afternoon,Medium
Storm,3.56,Urban,Daylight,Medium,80,Night,High
Drizzle,7.59,Highway,Night-lit,Low,50,Evening,Medium
Rain,4.11,Intersection,Night-unlit,Medium,30,Morning,High
Clear,4.223,Intersection,Night-lit,Low,40,Afternoon,Medium
Rain,2.397,Intersection,Dawn/Dusk,Low,100,Morning,High
Drizzle,5.07,Rural,Night-lit,Medium,50,Night,Medium
Storm,5.79,Rural,Night-unlit,High,60,Afternoon,High
Rain,4.447,Rural,Daylight,Low,40,Afternoon,Low
