pm25,pm10,no2,so2,co,o3,nh3,temperature,humidity,wind_speed,aqi_category
30.299,36.986,41.514,22.912,1.51,41.493,10.927,24.842,34.866,1.547,Moderate
49.678,84.145,53.761,48.872,2.159,36.245,29.122,27.174,84.421,3.609,Moderate
62.099,73.742,38.76,33.097,1.513,32.4,17.08,44.0,96.0,6.734,Poor
57.593,73.009,40.499,24.867,1.514,55.475,42.656,25.869,96.0,4.655,Moderate
24.12,27.479,56.731,10.481,1.719,42.638,5.159,35.008,54.773,1.59,Moderate
42.302,68.951,73.807,18.279,1.745,11.648,30.099,24.676,59.488,3.17,Moderate
102.859,181.615,37.278,29.342,2.449,55.148,25.393,27.196,60.998,5.56,Very Poor
103.662,180.823,62.168,25.398,1.916,36.156,50.397,28.592,40.718,0.36,Poor
25.998,40.215,35.407,31.191,1.271,54.528,33.464,37.126,22.081,2.737,Moderate
61.266,111.537,40.833,28.954,2.034,45.682,48.671,25.908,59.052,5.057,Moderate
194.265,306.153,46.429,30.201,3.199,25.674,38.233,30.007,52.453,4.296,Severe
41.218,59.92,20.776,20.903,1.371,16.566,9.825,33.243,38.561,2.485,Moderate
37.019,81.822,32.259,25.827,1.434,35.197,55.724,26.77,82.383,2.763,Moderate
44.966,75.692,51.017,15.302,1.209,60.273,14.68,30.754,74.564,4.544,Moderate
64.519,128.891,54.434,19.477,1.908,42.851,41.547,27.226,32.829,2.965,Moderate
104.65,122.934,69.09,32.001,2.721,16.902,32.327,41.663,46.37,3.434,Poor
79.794,93.613,39.955,31.274,2.281,41.846,42.44,23.199,40.282,0.3,Poor
8.0,24.834,62.776,13.365,1.149,22.087,36.681,33.907,39.921,2.209,Moderate
63.434,62.545,45.403,25.452,1.581,46.66,31.991,34.301,26.269,2.564,Moderate
56.43,91.876,30.827,26.69,2.552,23.255,56.007,29.819,25.394,4.116,Moderate
44.741,64.334,47.332,24.615,1.685,42.262,31.235,23.412,38.699,5.547,Moderate
32.208,41.073,62.861,22.26,1.835,35.479,46.652,31.124,96.0,1.282,Moderate
51.1,86.255,81.286,38.346,2.039,33.301,38.243,23.008,81.939,2.039,Poor
152.949,261.146,84.847,31.082,2.574,25.235,34.909,29.519,43.605,2.456,Very Poor
174.079,152.417,71.618,22.647,3.399,19.504,17.22,40.813,30.535,2.751,Very Poor
52.718,50.581,41.085,19.382,2.149,5.0,28.269,34.974,87.141,5.12,Moderate
85.66,138.24,62.343,36.954,2.636,43.657,25.487,30.304,83.617,3.229,Poor
29.361,20.0,59.553,17.491,0.862,31.833,35.595,21.633,66.809,2.226,Good
44.924,58.0,75.823,20.98,0.932,14.283,37.717,35.571,83.207,0.601,Moderate
27.332,45.791,58.551,20.021,1.495,21.696,25.452,30.118,48.052,1.813,Moderate
79.193,135.287,53.764,35.108,2.186,68.342,16.471,32.686,18.0,1.581,Poor
38.367,42.723,36.076,13.605,1.169,62.857,58.153,31.321,47.211,3.371,Moderate
89.03,141.898,6.0,43.564,2.004,35.821,34.748,31.213,41.708,1.427,Moderate
89.865,120.912,63.551,29.151,1.821,49.782,39.244,28.19,56.699,0.3,Poor
82.586,120.799,42.448,31.252,2.342,40.071,39.013,26.354,56.767,0.518,Poor
37.097,60.758,49.608,3.382,0.77,19.422,42.728,31.45,70.947,3.514,Moderate
