power_usage,water_usage,gas_usage,temperature,humidity,usage_score,anomaly
102.93,74.52,37.16,16.84,41.46,33.23,0
124.38,55.69,26.85,39.74,47.59,43.12,0
137.89,41.3,34.37,25.75,39.45,38.75,0
87.88,18.0,24.21,12.0,40.47,17.13,0
94.26,53.28,21.76,27.06,86.15,27.87,0
103.93,44.99,31.27,22.82,64.98,29.67,0
147.06,28.39,42.11,32.8,51.29,43.39,0
149.48,75.13,19.58,33.74,33.85,46.3,0
132.06,51.56,27.62,24.11,69.82,35.18,0
134.87,41.99,36.47,26.22,84.29,36.8,0
111.68,57.69,21.52,25.42,22.84,33.91,0
99.15,53.69,30.73,30.46,62.02,33.87,0
135.49,54.31,34.06,12.0,64.49,31.94,0
141.58,38.96,35.04,14.55,51.43,33.05,0
123.06,61.53,19.85,30.44,54.7,37.01,0
81.48,50.27,24.89,25.75,56.98,26.7,0
130.7,40.78,32.97,29.26,75.07,37.02,0
127.71,63.24,30.14,25.76,66.82,37.61,0
108.2,60.33,26.32,35.27,50.02,38.37,0
142.33,28.92,24.11,23.78,67.71,32.96,0
156.76,52.94,17.11,19.69,32.55,36.95,0
143.56,65.1,10.0,39.08,57.23,43.03,0
127.78,57.42,36.77,21.81,20.0,38.77,0
112.16,43.55,19.56,29.77,72.68,31.23,0
136.61,53.14,29.79,33.77,30.51,43.54,0
96.73,55.21,29.79,22.81,75.19,28.94,0
143.45,71.89,13.13,24.47,50.29,37.76,0
141.53,42.16,26.64,22.1,73.58,34.14,0
126.73,47.81,38.02,22.78,58.84,36.08,0
146.9,54.63,37.63,34.98,43.27,47.45,0
114.4,30.83,26.09,23.35,53.85,29.15,0
142.97,29.19,19.96,26.24,38.05,34.83,0
135.69,60.41,26.86,29.36,37.71,41.12,0
123.5,61.87,28.06,28.53,55.37,38.12,0
141.2,43.15,29.95,15.56,64.6,32.2,0
110.53,42.68,31.26,34.85,45.2,37.54,0
117.78,70.95,25.92,22.68,57.68,34.81,0
90.54,70.2,36.47,36.81,34.92,40.54,0
126.26,53.31,45.57,26.59,24.55,42.2,0
138.13,27.66,20.29,34.17,42.6,37.56,0
140.38,46.65,26.29,29.3,69.27,38.3,0
134.23,55.09,40.87,18.64,51.08,37.45,0
139.89,68.05,21.55,36.74,86.15,42.94,0
145.31,59.22,26.57,22.28,81.39,36.9,0
92.42,55.87,27.7,31.31,62.35,32.64,0
116.63,46.02,20.76,31.97,70.27,33.89,0
106.31,31.38,36.76,26.48,92.28,29.98,0
116.21,58.14,41.81,36.79,20.0,45.49,0
128.52,46.38,23.32,12.0,72.02,26.62,0
147.32,49.39,38.4,16.82,36.35,38.24,0
115.14,55.7,30.98,21.61,74.26,32.05,0
109.32,50.45,24.32,23.82,39.87,31.49,0
79.53,71.55,13.29,24.73,50.92,26.34,0
151.38,75.7,28.14,29.92,48.49,46.13,0
112.52,60.01,21.65,24.19,69.76,31.46,0
154.03,56.2,22.6,35.82,22.54,46.8,0
134.66,51.87,43.96,17.67,34.16,38.18,0
111.26,75.15,25.53,31.07,72.0,37.61,0
90.37,52.63,30.19,24.18,49.3,29.51,0
111.26,67.85,36.91,12.0,44.88,31.14,0
121.01,71.68,38.93,24.03,54.77,39.44,0
125.41,37.23,21.79,26.45,61.68,32.16,0
139.98,47.92,34.36,21.83,65.43,36.79,0
97.98,55.94,19.25,31.75,25.71,33.67,0
115.52,36.4,23.85,22.73,37.51,30.11,0
118.12,33.87,34.03,40.14,39.22,41.28,0
148.0,54.18,33.89,33.43,64.4,44.85,0
136.59,42.71,29.78,33.06,55.42,40.47,0
125.86,70.91,24.16,26.87,64.98,37.57,0
121.02,18.0,31.86,28.39,95.0,30.39,0
98.66,48.5,46.8,38.49,56.62,41.2,0
125.66,48.04,30.13,33.72,38.56,40.51,0
73.18,70.06,25.6,30.33,45.47,31.02,0
93.14,55.99,23.69,27.61,54.74,30.36,0
105.16,55.43,11.9,32.76,55.54,32.15,0
131.25,44.05,21.39,29.26,54.81,35.81,0
132.49,64.93,44.76,43.47,34.14,52.71,0
132.88,54.34,39.34,26.06,61.6,39.92,0
139.1,21.42,26.6,30.02,67.89,35.03,0
109.8,38.71,15.95,35.64,48.0,33.43,0
117.49,52.11,24.88,33.18,95.0,35.26,0
102.61,62.64,26.7,13.29,67.6,25.92,0
130.53,40.75,37.02,26.63,65.97,37.1,0
98.47,34.88,35.68,40.54,36.16,38.64,0
131.21,55.6,33.19,35.2,56.05,43.16,0
180.48,54.07,21.35,32.09,52.72,47.59,0
163.08,51.61,32.38,35.53,73.94,47.42,0
116.79,49.78,36.27,18.6,62.84,31.85,0
107.12,48.78,37.78,43.73,42.25,43.93,0
131.72,66.93,24.71,43.75,64.85,46.64,0
113.91,49.14,20.29,31.04,32.98,35.12,0
115.6,35.05,22.99,29.97,37.38,33.35,0
168.89,58.79,14.88,28.51,44.29,43.24,0
105.45,58.81,10.0,23.75,71.24,26.93,0
130.3,54.38,27.91,34.66,38.74,42.16,0
120.31,68.85,30.52,23.9,56.39,36.75,0
157.06,42.66,34.16,45.0,91.46,49.37,0
132.84,61.85,25.98,18.95,76.2,33.47,0
110.02,44.32,26.57,20.24,79.21,27.55,0
149.73,28.09,16.1,25.19,70.51,32.82,0
129.83,82.99,21.65,22.53,46.51,38.13,0
104.27,73.59,47.83,29.49,72.7,40.66,0
108.62,34.62,23.51,20.73,20.0,28.41,0
84.11,35.24,29.47,27.5,54.84,27.15,0
113.46,67.17,26.75,29.73,47.86,37.72,0
123.95,44.68,16.55,27.47,54.47,32.55,0
115.86,63.87,41.11,33.4,61.16,42.3,0
106.07,58.21,29.32,24.96,95.0,31.01,0
123.13,45.91,36.3,31.82,48.03,39.81,0
115.33,22.67,32.54,25.91,62.51,30.57,0
125.76,33.31,40.71,29.5,51.47,38.25,0
135.74,51.06,22.23,34.48,54.48,40.43,0
125.29,39.12,31.9,26.91,62.85,35.0,0
108.81,49.02,35.62,22.88,46.82,33.1,0
105.33,25.34,22.75,35.61,56.33,31.96,0
131.1,52.94,33.36,30.5,20.0,42.27,0
86.23,60.9,30.4,16.15,62.41,25.3,0
128.45,44.8,20.64,32.67,32.54,38.06,0
126.75,55.7,25.22,30.64,55.77,38.2,0
60.0,58.0,26.61,32.78,46.74,28.36,0
87.68,72.19,33.51,12.0,46.42,26.61,0
118.4,42.9,34.3,25.9,41.69,35.42,0
88.4,54.1,31.2,26.23,55.62,30.31,0
135.76,84.83,38.24,21.73,37.51,43.48,0
139.19,54.24,43.99,21.22,20.0,41.81,0
125.25,53.06,30.25,35.14,61.13,40.75,0
121.79,31.45,24.62,26.3,95.0,29.63,0
130.47,40.88,35.24,36.78,46.31,42.74,0
136.59,49.09,32.37,30.62,37.21,41.68,0
133.58,49.81,40.6,15.53,93.78,32.84,0
128.31,39.49,37.11,27.96,82.08,36.41,0
138.3,64.54,28.86,22.85,24.32,40.07,0
138.35,56.24,22.37,18.72,42.56,34.38,0
111.82,53.06,29.76,31.28,67.48,35.96,0
159.95,62.3,26.89,27.06,32.81,44.85,0
93.28,58.57,24.52,30.98,73.98,31.67,0
137.52,52.39,23.43,35.96,71.89,41.1,0
108.16,63.7,26.4,18.6,61.65,29.94,0
134.13,35.48,26.3,27.2,59.9,35.03,0
133.32,44.71,23.34,32.62,55.71,38.38,0
142.07,46.95,18.31,28.74,57.59,37.03,0
136.93,33.48,26.17,27.92,56.23,35.76,0
143.75,33.18,25.08,27.9,59.15,36.53,0
175.19,42.78,45.79,37.07,79.83,52.06,0
113.15,82.43,39.02,30.05,77.09,41.45,0
65.51,54.85,15.92,27.09,71.37,22.27,0
160.18,61.09,40.51,41.43,39.39,54.85,0
148.91,44.94,29.99,23.65,46.19,38.8,0
116.54,24.56,26.17,39.33,57.45,36.49,0
117.01,59.0,37.42,23.15,65.5,35.6,0
106.46,59.61,10.0,30.01,52.3,31.3,0
118.58,56.21,25.44,32.09,68.87,36.92,0
104.36,21.27,28.09,20.66,51.52,25.26,0
142.76,55.09,44.09,27.6,44.08,44.59,0
134.46,62.48,33.98,36.7,22.2,47.35,0
134.42,30.96,14.59,37.5,39.67,37.8,0
115.67,55.92,30.7,35.58,62.62,39.67,0
157.77,49.72,24.12,17.76,69.97,35.53,0
174.1,35.02,31.87,21.21,57.73,40.61,0
128.0,38.09,22.99,36.5,21.67,40.06,0
114.79,29.8,17.48,14.58,40.51,23.29,0
122.41,37.2,32.75,36.8,48.23,40.09,0
102.96,18.0,43.57,29.26,40.29,33.12,0
122.11,51.01,33.87,41.56,40.26,45.02,0
117.53,61.7,29.64,17.57,55.31,31.93,0
137.46,30.95,27.67,36.92,75.57,39.4,0
131.86,53.24,26.11,30.3,61.05,38.55,0
145.14,52.21,27.28,30.38,78.08,40.27,0
112.49,52.92,33.66,25.79,51.77,35.04,0
81.28,55.24,36.47,38.48,54.56,36.63,0
158.66,62.09,43.45,45.0,82.48,55.05,0
161.08,84.89,31.31,18.5,20.0,45.64,0
121.82,81.67,31.38,33.12,43.17,44.29,0
126.39,52.88,41.46,22.26,39.82,38.24,0
184.15,61.38,21.63,30.47,48.24,48.76,0
158.09,25.87,18.31,35.69,57.66,40.44,0
117.96,52.16,10.0,45.0,37.22,40.57,0
96.62,39.62,25.72,25.46,63.04,27.69,0
129.64,73.4,35.02,24.73,65.64,40.1,0
130.46,48.57,38.71,34.05,64.14,42.39,0
140.63,50.79,33.6,32.02,86.72,41.17,0
138.43,23.26,34.27,30.57,73.78,37.0,0
178.87,44.7,28.43,29.15,20.0,47.85,0
119.73,41.57,20.52,28.2,55.77,32.61,0
98.95,55.05,35.23,23.99,57.81,32.08,0
119.93,48.38,26.41,31.46,64.03,36.23,0
119.34,75.25,10.0,30.6,60.37,35.7,0
115.75,62.17,33.8,26.44,58.43,36.95,0
125.85,41.78,12.01,33.14,47.02,34.6,0
137.55,44.57,13.15,45.0,34.39,43.94,0
117.5,38.93,19.21,38.56,63.64,36.31,0
138.24,57.13,16.99,35.54,39.47,41.76,0
123.44,48.91,23.16,31.16,67.91,35.81,0
73.57,30.37,26.71,15.55,59.3,17.71,0
120.39,60.97,50.04,38.51,41.69,48.38,0
127.25,73.1,30.95,28.77,61.42,40.88,0
141.57,18.0,31.31,23.26,41.07,34.09,0
111.92,56.47,41.74,36.82,32.01,43.88,0
158.43,18.19,34.71,20.08,45.06,36.18,0
91.08,29.35,14.91,33.58,33.09,28.21,0
106.81,49.21,45.31,26.49,47.01,36.88,0
114.48,67.3,24.15,12.0,66.79,27.49,0
161.04,40.89,25.75,22.59,53.2,38.53,0
140.55,31.19,18.11,33.1,54.77,36.82,0
131.28,53.29,34.88,37.06,36.74,45.16,0
159.41,37.99,38.23,30.1,61.66,44.16,0
98.06,38.55,28.49,33.59,83.73,31.5,0
117.52,49.35,36.84,26.69,49.4,36.78,0
133.87,54.93,21.18,28.8,79.23,36.31,0
121.4,51.48,28.05,22.61,51.27,33.53,0
87.47,50.53,27.85,17.85,47.14,25.07,0
125.19,46.44,37.96,13.55,24.16,32.72,0
142.32,50.93,36.82,34.02,47.71,45.21,0
156.87,52.83,42.43,29.4,70.77,45.98,0
146.3,44.69,31.14,31.46,60.83,41.75,0
102.77,47.18,22.22,35.99,76.78,33.59,0
130.36,67.27,33.28,27.54,50.07,41.13,0
123.45,70.51,32.81,14.85,60.45,33.37,0
146.85,53.73,28.64,28.5,81.88,39.99,0
112.79,27.9,31.93,31.87,40.13,34.8,0
143.48,37.23,43.02,20.44,61.88,37.49,0
127.95,40.45,27.52,32.38,52.0,37.89,0
133.93,46.46,11.49,21.98,51.71,30.78,0
61.46,82.43,10.0,34.32,95.0,26.41,0
118.7,39.06,16.96,33.25,59.77,33.54,0
144.71,62.07,15.69,34.71,61.99,41.76,0
130.16,42.06,25.75,21.39,74.9,31.45,0
154.24,43.28,35.85,18.63,53.78,38.05,0
117.8,71.8,42.3,24.34,30.67,41.05,0
139.36,34.06,30.63,21.33,20.0,35.87,0
163.89,59.49,13.91,24.16,86.98,37.9,0
162.68,42.47,19.37,32.23,20.0,43.99,0
132.65,28.31,28.37,31.7,36.9,37.65,0
149.79,53.88,35.09,34.68,21.2,48.21,0
125.22,76.66,31.11,20.98,55.73,37.44,0
151.43,37.81,17.47,30.55,47.78,38.63,0
115.51,44.22,25.55,17.76,34.72,29.26,0
111.6,55.12,23.99,20.23,82.5,28.55,0
134.91,31.54,29.58,33.34,57.4,38.6,0
108.66,58.41,19.72,35.18,50.61,36.53,0
145.46,55.6,26.0,23.96,54.43,38.46,0
121.17,43.79,39.53,26.04,67.13,36.09,0
102.13,83.02,28.25,21.98,51.91,34.18,0
129.51,44.95,25.75,24.24,73.32,33.24,0
137.27,32.92,35.01,24.36,38.78,36.96,0
140.08,31.54,10.0,20.19,49.39,28.66,0
107.68,69.67,35.78,24.12,55.24,36.02,0
96.89,48.1,49.45,16.44,73.52,29.59,0
120.14,25.17,29.01,37.85,58.03,37.13,0
118.12,50.02,17.93,22.12,26.37,31.31,0
105.69,44.19,37.22,23.04,54.72,31.93,0
87.63,50.52,31.39,33.87,39.45,34.35,0
102.14,68.22,37.92,28.18,40.18,38.12,0
145.3,58.13,38.09,31.39,47.94,45.73,0
126.0,52.73,22.68,32.29,62.3,37.53,0
105.92,55.23,20.77,30.76,86.8,31.82,0
76.87,55.68,24.17,38.34,51.23,33.04,0
92.91,46.56,22.98,44.27,40.07,37.89,0
128.36,55.35,27.34,25.34,48.72,36.65,0
145.84,32.53,32.73,32.47,41.43,41.83,0
167.27,22.79,15.83,30.22,41.09,39.15,0
92.69,34.44,10.0,27.84,55.72,24.04,0
114.38,40.02,32.24,28.56,68.78,33.77,0
106.12,58.77,23.2,30.82,36.93,35.46,0
101.96,47.45,25.51,25.02,36.42,30.8,0
99.33,39.59,31.93,13.2,58.09,23.78,0
151.64,45.59,32.66,28.65,78.04,40.94,0
112.76,39.95,21.86,19.9,59.93,27.09,0
121.74,59.35,29.48,40.43,64.74,43.27,0
182.85,65.32,28.55,40.53,34.6,56.44,0
158.34,71.66,24.3,33.93,68.44,46.91,0
114.84,70.99,27.0,36.71,39.46,42.47,0
92.06,49.2,27.78,25.06,55.54,28.88,0
132.46,45.43,28.82,30.53,82.55,37.26,0
130.71,57.86,10.27,35.12,52.9,38.01,0
111.65,58.37,27.24,38.2,76.3,39.09,0
165.67,54.75,23.12,41.92,48.18,50.59,0
122.23,47.12,34.28,32.76,20.0,41.21,0
116.45,42.19,32.7,27.84,41.19,35.58,0
136.49,70.44,23.44,42.57,51.48,47.76,0
150.03,56.04,34.9,33.94,67.28,45.83,0
135.28,38.39,29.01,31.87,95.0,36.87,0
130.93,60.79,50.45,23.66,63.55,41.84,0
111.62,31.5,27.91,32.63,20.06,35.51,0
130.24,39.57,37.08,35.55,54.41,41.94,0
84.74,53.92,42.02,28.44,50.08,33.6,0
137.68,72.77,31.86,39.08,52.54,48.53,0
117.85,58.45,30.53,18.05,46.54,32.42,0
110.02,55.36,34.07,29.3,52.24,36.77,0
133.57,37.41,27.74,25.74,39.96,35.81,0
126.36,47.25,26.38,17.5,66.63,30.11,0
94.0,44.8,26.55,32.16,61.1,31.59,0
114.48,47.8,17.76,31.27,76.76,32.36,0
101.95,56.58,24.83,16.38,22.6,28.29,0
137.31,54.16,20.08,30.87,38.35,39.63,0
120.41,55.86,32.19,20.32,61.31,33.32,0
109.11,38.93,27.61,15.71,51.92,25.97,0
125.91,46.69,27.22,21.83,80.76,31.61,0
114.55,48.89,27.3,30.55,74.11,34.58,0
111.52,41.46,25.36,16.48,51.51,26.63,0
118.61,60.76,27.49,23.98,37.16,35.58,0
116.87,50.09,30.64,26.85,62.71,34.69,0
159.83,47.57,16.86,32.1,34.76,42.79,0
127.57,64.51,26.82,23.26,23.08,37.91,0
186.03,43.68,28.6,20.49,32.01,44.11,0
151.58,71.97,24.67,19.08,69.94,38.32,0
118.1,68.29,23.23,27.35,63.33,35.9,0
121.59,51.78,25.68,29.19,52.23,36.28,0
139.55,47.88,20.38,34.24,61.38,39.77,0
117.29,29.89,39.02,19.68,46.45,31.18,0
95.05,55.0,28.82,27.66,45.91,32.26,0
114.22,57.37,38.59,30.74,54.62,39.49,0
157.69,48.62,22.12,32.66,51.62,43.25,0
123.95,60.54,29.07,24.62,73.02,35.42,0
102.16,53.28,32.73,37.58,54.77,38.76,0
134.86,67.55,35.92,36.39,34.66,47.81,0
152.28,58.58,31.2,23.13,81.22,39.6,0
161.91,41.53,36.66,27.04,75.62,42.49,0
139.59,64.36,10.13,28.69,55.69,37.12,0
130.89,42.77,25.07,40.93,70.17,41.52,0
97.79,41.39,25.18,26.3,85.75,27.3,0
139.34,21.6,25.26,30.02,61.7,35.09,0
130.84,74.93,36.59,26.62,44.81,42.89,0
142.51,47.33,20.39,17.41,57.78,31.98,0
129.57,60.19,26.7,40.02,80.01,43.16,0
119.0,29.6,34.07,32.67,49.06,36.62,0
143.65,41.34,36.16,23.99,80.39,37.3,0
140.2,70.2,19.98,22.12,89.67,35.44,0
121.79,51.11,21.94,29.24,42.64,35.83,0
98.38,21.08,29.13,25.29,58.67,26.36,0
128.58,44.31,20.6,21.0,63.34,30.63,0
94.2,55.65,27.23,24.44,34.39,30.78,0
106.92,63.37,24.17,41.58,41.31,41.64,0
136.15,29.71,28.53,16.16,75.49,28.82,0
125.66,40.47,35.59,17.86,54.55,32.03,0
