ph,turbidity,solids,chloramines,sulfate,conductivity,organic_carbon,hardness,temperature,dissolved_oxygen,potability
7.405,2.14,21017.197,3.521,304.365,367.485,12.325,219.039,30.606,3.495,0
6.06,1.219,14760.251,5.811,286.218,300.775,18.202,136.016,17.836,7.548,1
7.85,3.361,22954.001,2.624,128.131,576.685,19.077,130.64,10.96,11.454,1
8.041,2.103,11280.495,2.832,303.76,493.282,19.728,164.591,22.268,8.831,1
5.149,3.607,18208.526,6.9,289.067,323.239,6.09,208.944,21.51,7.089,1
5.798,4.243,36000.0,4.545,213.894,241.895,14.31,247.043,29.164,5.315,0
7.228,0.734,1800.0,4.505,208.346,178.441,5.402,202.764,15.751,10.338,1
6.784,2.302,19015.455,4.762,301.021,541.482,18.357,325.428,26.037,7.11,1
7.083,3.363,19265.549,6.552,401.755,514.101,18.997,152.778,25.335,6.188,0
6.247,5.545,16017.421,5.431,298.864,530.588,16.901,230.719,24.872,6.233,0
7.979,5.095,16170.625,3.614,331.341,390.565,10.589,129.0,29.056,11.131,1
7.878,1.615,18094.164,3.686,194.263,501.721,14.949,278.604,22.864,7.187,1
7.166,2.812,15861.979,4.71,229.787,528.263,10.015,264.768,23.303,8.211,1
8.227,4.398,18942.868,5.704,316.681,396.625,12.562,229.133,25.612,7.034,0
7.568,2.666,14330.53,5.029,149.541,362.022,12.085,94.502,22.409,7.283,1
6.241,1.751,30645.553,4.851,282.612,287.846,3.507,228.623,15.151,6.635,0
7.469,3.077,15861.911,5.193,306.941,456.138,8.857,144.948,20.619,9.96,1
6.141,4.113,21202.474,5.028,261.725,472.106,22.719,214.949,21.498,7.479,1
7.978,1.484,13151.265,3.539,292.147,356.216,12.11,109.994,19.738,4.866,0
7.05,4.732,23565.43,7.314,269.915,370.351,13.221,204.849,21.164,8.109,1
6.915,3.508,22267.541,4.135,212.116,378.925,12.461,170.555,24.042,7.193,0
6.419,4.85,20225.192,5.358,164.861,499.949,10.653,147.197,21.411,8.086,0
8.323,3.027,10822.32,0.979,257.323,240.081,12.662,222.593,27.953,6.803,0
6.945,9.298,12609.38,4.67,375.883,272.37,10.668,187.179,28.044,6.426,0
6.672,4.058,28460.124,2.901,352.072,274.711,2.227,178.727,9.203,9.009,1
6.748,5.228,12537.421,3.142,235.647,387.176,16.038,230.546,14.688,10.746,1
7.632,4.718,21665.864,9.944,233.881,442.833,19.758,294.718,9.052,4.054,0
7.465,2.784,11359.636,5.599,227.624,276.735,7.261,205.162,21.412,7.548,1
7.513,3.806,24054.491,7.552,227.635,514.081,10.642,90.671,21.051,6.428,0
7.531,1.986,13038.417,6.811,289.459,580.518,19.25,104.295,23.876,5.759,0
9.242,8.866,11239.279,7.066,354.886,454.656,9.029,193.79,27.887,3.518,0
6.694,4.375,12869.774,4.702,457.339,539.735,14.245,246.456,22.752,8.049,0
6.588,1.666,13900.283,8.313,194.463,295.179,26.0,197.409,19.503,6.53,0
6.286,7.589,20130.377,6.793,320.35,298.037,15.345,218.136,22.975,6.423,0
7.716,2.892,17950.994,5.183,311.098,466.755,12.81,186.765,20.135,9.565,1
8.229,5.729,10381.485,5.627,236.972,400.392,16.468,242.915,14.431,6.609,1
6.986,0.714,17318.344,4.827,177.789,297.814,15.995,223.913,28.555,6.533,1
6.26,6.702,10067.241,5.204,288.407,576.006,9.52,133.923,25.462,4.995,0
6.276,4.251,21683.123,5.013,445.19,440.855,4.686,214.629,31.404,5.766,0
7.751,1.555,22874.869,5.863,287.869,489.261,15.173,105.155,15.825,10.04,0
7.843,4.2,17344.342,8.58,198.085,324.09,15.847,214.641,13.634,8.501,0
7.643,8.298,19265.747,2.69,251.632,606.589,11.161,174.462,17.571,9.718,1
6.434,2.034,28888.807,7.385,168.085,386.289,19.903,198.838,25.313,5.887,0
7.332,2.012,16475.581,4.364,266.573,527.287,19.001,207.821,27.982,8.05,0
7.217,2.752,11362.323,7.639,323.09,335.061,15.985,205.49,24.66,9.286,1
7.319,3.34,21264.769,4.433,206.129,425.238,11.246,267.961,23.833,8.443,1
7.971,5.981,10137.751,5.926,80.0,471.94,3.091,191.874,27.956,10.245,1
7.324,4.416,16131.302,4.782,288.535,644.449,11.715,200.39,20.335,8.124,1
7.779,2.751,13606.565,1.639,222.368,352.233,4.237,263.14,29.127,7.397,1
7.168,3.922,12938.171,8.578,201.193,429.308,1.893,294.324,34.513,3.162,0
7.389,9.178,15874.431,3.214,200.459,476.023,15.412,189.026,16.836,8.15,0
7.731,4.947,23349.294,5.268,299.021,235.219,17.775,161.835,21.526,8.476,0
5.643,2.974,24686.847,2.995,230.328,144.079,3.722,164.562,14.939,9.466,0
6.78,2.69,23520.338,2.426,344.088,285.5,11.346,214.79,17.402,5.97,1
6.63,3.761,19686.302,4.69,345.958,521.062,12.421,178.814,25.277,7.34,1
6.461,5.933,15824.842,3.913,241.996,610.969,11.184,93.791,13.223,4.538,0
6.825,1.81,2174.138,2.762,220.726,294.242,6.297,251.768,18.478,4.496,1
8.595,5.404,19889.796,5.029,275.855,258.993,18.49,234.846,29.111,8.323,0
6.234,2.93,2684.344,2.136,252.642,589.17,6.421,253.065,24.296,9.68,1
8.068,3.256,4998.113,5.351,116.036,337.149,3.729,263.927,27.454,9.743,1
5.417,12.5,16449.16,4.845,427.699,360.385,6.315,200.484,15.497,8.189,0
6.765,5.043,19219.752,0.5,325.719,580.096,14.666,204.33,23.393,11.083,1
7.263,2.155,14567.948,4.054,225.604,560.364,11.298,245.366,33.943,6.693,1
7.686,4.243,27480.952,6.037,102.107,517.088,9.034,123.172,19.161,9.017,0
7.811,6.13,20503.661,2.973,249.663,199.623,14.874,170.614,20.169,5.028,0
7.893,5.081,15878.849,6.124,215.022,253.985,13.997,186.737,26.374,2.0,0
6.751,0.396,26511.015,5.965,259.851,539.461,2.117,240.707,17.781,6.534,1
6.638,3.159,27673.237,3.065,81.071,443.147,14.829,160.377,27.16,7.183,0
7.958,4.371,20831.632,5.075,224.859,311.672,17.816,150.832,12.579,7.822,0
6.909,4.132,12460.825,6.75,230.038,363.653,11.946,166.297,8.931,7.065,1
5.824,2.293,13923.242,3.347,248.657,538.318,11.443,215.83,24.824,8.05,1
5.967,5.139,8096.198,4.688,244.922,588.313,21.022,186.245,17.317,10.533,1
6.181,6.72,17224.29,7.4,269.441,404.283,9.306,110.21,19.719,8.728,0
7.597,0.758,10674.731,3.385,394.3,322.57,11.755,121.053,28.084,6.022,1
7.242,0.689,15361.014,6.018,221.224,371.941,13.989,197.513,26.62,2.877,1
7.79,4.217,19193.902,2.942,187.552,566.168,12.718,199.345,15.882,5.464,0
6.673,5.425,4605.894,4.778,118.177,563.824,11.275,191.517,26.014,9.817,1
7.259,2.041,9285.682,5.993,221.556,428.311,12.902,164.111,21.259,6.494,1
7.726,0.424,14205.488,0.5,145.894,341.461,19.56,233.321,25.419,8.622,0
6.791,3.198,17158.572,4.031,346.608,534.932,16.134,210.294,22.883,8.553,1
7.557,4.175,14289.71,5.959,256.831,599.753,12.164,208.42,14.28,7.3,1
6.438,2.589,15741.633,5.552,344.855,230.579,8.612,210.372,18.864,7.244,1
6.737,6.23,12909.783,4.055,389.584,377.108,9.21,277.858,9.01,6.204,0
6.718,4.002,8078.901,2.891,191.47,543.715,16.776,133.665,24.074,11.409,1
5.904,1.87,14024.12,6.357,235.474,413.841,5.33,166.841,25.302,5.679,0
7.587,2.028,16114.405,4.455,378.193,346.37,23.314,171.501,18.914,9.418,1
6.631,3.248,15482.464,6.191,281.083,427.223,12.357,259.172,22.329,8.895,1
7.112,2.458,18226.673,5.86,309.328,449.485,6.297,169.444,17.35,8.507,0
7.581,0.644,20222.815,4.205,352.803,269.78,13.319,146.415,30.287,7.184,1
7.547,3.767,21931.22,7.245,341.204,415.895,8.897,184.181,15.541,4.736,0
7.765,2.07,13381.92,3.911,299.881,449.08,10.615,195.752,21.196,5.334,1
7.002,2.355,7257.321,7.481,383.691,346.099,5.702,255.801,15.47,6.005,0
6.677,1.346,25765.376,7.743,259.198,311.461,11.426,169.117,24.362,8.066,1
7.02,8.437,20005.398,7.2,309.15,340.453,2.948,152.19,29.022,9.003,0
5.413,4.845,11294.695,4.739,249.976,288.49,9.801,139.958,10.959,7.965,1
5.653,9.78,19305.083,10.194,351.747,507.074,8.777,171.064,26.793,7.867,0
5.777,2.579,24441.966,5.404,205.435,286.963,10.24,331.001,32.463,9.276,0
6.103,5.031,28739.647,5.582,121.957,427.685,9.061,211.033,23.748,3.638,0
7.5,3.813,19128.967,5.056,320.669,360.096,12.653,222.905,19.086,3.428,0
6.195,1.929,24387.859,2.84,178.288,320.258,16.496,189.984,22.779,4.614,0
6.722,2.559,9637.587,7.69,169.864,569.559,14.123,197.556,19.835,9.066,1
8.399,4.839,17266.632,3.955,372.519,389.306,18.347,233.258,34.393,3.783,0
6.744,1.344,15322.418,6.939,347.134,324.672,10.257,220.947,27.843,7.382,1
7.838,6.271,19726.704,7.419,235.887,313.186,13.961,209.204,28.223,5.761,0
6.166,3.596,27972.761,6.307,80.0,445.688,14.139,190.887,35.499,7.679,0
6.895,5.739,19124.281,3.716,310.325,504.191,17.682,170.623,30.798,7.145,0
6.15,4.187,11405.01,4.418,321.313,557.491,9.213,213.339,22.296,7.851,0
6.761,0.764,9287.649,0.5,308.929,384.881,16.05,194.596,23.147,6.682,0
7.94,3.161,28197.57,4.867,305.023,377.672,8.642,307.302,36.687,8.673,0
5.373,6.36,20839.657,6.705,249.582,420.715,9.935,247.783,18.712,10.034,0
7.534,3.558,20412.529,4.625,230.11,425.055,10.886,152.915,22.005,9.677,1
7.338,3.22,15265.746,3.92,170.976,312.353,14.539,125.675,17.125,6.748,1
6.506,3.556,19241.102,4.505,205.721,580.489,7.608,168.098,12.454,5.843,0
5.654,0.592,11084.761,7.531,292.326,407.667,8.236,130.422,17.897,7.752,1
7.172,6.791,20016.789,4.991,293.724,469.169,9.597,164.793,18.011,10.956,1
6.571,0.307,9863.344,8.816,332.135,455.935,12.718,136.674,19.374,7.304,0
7.333,7.716,15164.625,3.959,145.453,453.472,8.287,172.013,26.551,8.91,1
7.122,2.442,13321.195,5.534,123.966,284.508,13.688,172.668,22.931,8.811,1
8.702,4.389,1800.0,4.233,232.725,404.232,10.89,198.094,28.864,8.79,1
6.861,0.538,15246.004,9.249,178.304,678.689,15.461,178.622,23.876,9.691,1
6.077,5.386,11657.368,5.459,280.809,595.46,12.783,140.374,24.039,5.03,0
7.279,4.79,16132.466,9.356,153.66,423.841,20.385,256.82,21.31,5.666,0
7.32,4.596,17511.198,4.26,365.32,360.976,13.045,212.164,34.292,7.486,0
8.459,0.512,28991.558,8.155,195.125,138.866,7.017,160.054,20.544,9.615,0
7.935,1.724,19480.608,5.336,400.377,345.32,11.543,141.263,28.317,9.611,1
7.457,4.202,19671.732,6.773,309.566,395.59,12.595,109.302,16.143,7.317,1
8.563,6.671,20721.49,2.661,175.305,366.922,8.411,105.274,21.588,9.197,1
5.911,1.516,23166.755,5.797,443.053,375.278,19.327,247.61,34.644,6.641,0
6.46,1.552,20452.816,2.962,287.563,479.692,11.105,241.77,26.973,5.912,1
6.173,4.014,19331.135,5.614,279.12,284.957,9.599,157.866,14.882,5.008,0
6.71,12.5,22123.105,2.063,259.457,437.718,13.317,265.14,17.015,7.153,0
5.723,1.957,1800.0,4.912,304.657,391.769,8.422,223.922,32.292,6.776,1
7.735,2.419,31078.835,7.291,309.661,299.124,16.849,201.179,23.512,9.206,0
6.878,2.151,27833.244,6.195,191.477,605.893,15.944,237.407,21.404,8.413,0
5.629,2.935,18911.382,2.632,246.848,494.737,13.088,224.015,18.482,7.498,0
6.084,7.017,8315.458,1.303,274.835,310.632,15.162,198.452,21.159,7.505,0
7.414,3.052,25367.278,6.094,314.533,467.07,10.251,176.798,31.201,6.646,0
7.938,12.5,12989.803,8.262,315.974,238.265,5.738,184.104,18.94,4.198,0
9.097,3.468,20969.967,3.172,278.986,325.382,11.035,101.561,19.508,5.272,0
9.7,7.458,9161.114,9.295,218.223,564.308,10.243,145.96,26.477,8.816,0
7.514,2.56,31971.645,5.087,213.865,447.182,3.336,289.009,16.97,7.151,0
6.11,1.105,8125.591,1.183,163.723,437.544,7.74,144.49,17.577,5.039,1
4.968,3.048,17948.409,1.978,315.371,523.436,6.963,88.214,23.037,9.861,1
7.368,4.642,3705.783,6.64,212.642,478.353,7.758,239.718,23.182,10.457,1
6.287,1.737,17232.054,5.359,248.701,373.074,18.5,203.674,18.306,9.568,1
6.685,6.709,14735.646,8.064,285.208,517.369,14.804,206.768,25.744,8.163,0
6.488,2.234,24891.692,2.704,265.334,202.325,16.842,181.336,24.269,7.915,0
6.959,1.346,14735.034,5.337,264.523,324.903,14.793,240.092,11.554,7.356,1
8.166,12.305,24901.053,5.114,188.078,393.366,17.374,274.132,27.527,7.694,0
7.257,1.662,10843.216,4.814,287.853,470.727,12.621,161.32,19.696,8.532,1
6.941,2.183,15667.25,4.335,238.41,366.0,19.321,224.808,27.675,8.673,1
6.064,5.169,15797.571,4.375,257.656,190.913,6.959,251.517,35.062,8.217,0
5.425,2.493,20721.324,5.449,363.427,174.063,12.195,158.223,22.611,2.0,0
6.614,1.39,19894.434,5.705,307.952,396.829,7.888,273.027,19.26,9.472,1
7.046,2.015,22194.464,5.605,216.482,347.667,18.088,251.334,30.997,7.759,0
8.868,10.195,19234.399,7.512,252.342,295.803,14.389,121.689,18.133,4.957,0
7.23,4.755,21798.546,2.697,400.952,275.727,17.84,277.724,33.976,7.756,0
8.083,5.404,11663.884,1.477,238.872,421.053,6.184,124.573,20.311,7.944,1
6.601,3.878,20027.191,7.134,268.39,561.271,9.789,152.191,19.364,4.573,0
5.915,4.349,27953.339,3.213,321.452,421.063,4.472,227.602,36.722,6.243,0
6.135,2.35,6580.047,4.341,283.291,562.872,14.126,247.28,25.106,5.409,0
6.375,3.543,20678.552,3.876,233.31,360.121,10.573,195.427,32.407,5.648,0
9.228,0.463,21899.069,3.833,201.809,458.213,15.9,155.357,22.848,8.427,0
6.279,6.094,26997.711,2.183,264.142,567.245,12.642,175.694,22.435,6.28,0
7.938,2.333,22219.305,3.961,320.932,386.055,2.914,169.183,6.034,7.568,1
6.197,1.196,18152.054,6.399,377.277,408.117,5.028,236.267,28.868,8.728,1
8.032,3.689,20295.476,5.092,140.445,360.062,12.871,167.677,25.234,6.619,1
7.485,2.78,12722.254,6.109,414.837,476.101,14.596,154.148,22.352,8.8,1
6.943,5.951,14978.208,4.108,240.485,513.273,2.527,108.751,26.433,9.839,1
7.059,3.098,8817.932,6.906,343.61,447.154,12.124,157.317,23.222,8.923,1
6.445,1.98,27165.692,4.083,202.31,377.467,7.922,183.49,17.528,8.48,1
7.546,3.153,20426.023,0.883,128.079,225.033,7.504,127.828,25.103,8.938,1
6.645,8.015,11545.269,5.733,153.4,399.188,9.552,94.04,21.894,8.111,0
5.874,6.082,19263.82,6.635,236.869,381.966,13.056,243.898,27.298,8.928,0
5.822,4.747,25035.76,3.982,309.548,433.32,9.321,134.977,21.374,5.287,0
7.273,6.257,23953.15,7.498,267.651,419.015,3.562,117.987,20.282,7.266,0
8.679,4.998,11470.349,3.399,243.73,593.689,13.02,276.324,19.844,8.106,0
7.26,1.562,1800.0,6.441,360.032,321.431,10.922,236.683,17.873,7.265,1
6.981,5.434,20070.01,8.59,265.169,215.968,8.278,246.402,19.969,11.904,1
7.386,6.749,11735.347,5.173,288.782,267.896,11.115,217.786,25.505,7.055,0
8.406,6.998,21545.129,4.647,460.0,328.965,10.935,262.126,18.652,4.191,0
7.319,1.288,23676.758,4.889,264.317,534.841,12.698,238.587,16.183,7.499,1
6.689,2.188,24738.615,8.357,205.853,249.331,11.384,171.056,27.578,8.891,1
8.206,1.937,28840.813,5.906,305.882,265.344,13.244,131.422,22.199,5.829,0
7.529,2.541,25536.32,9.388,327.398,454.669,12.281,119.427,27.454,7.334,0
8.636,4.415,28872.067,5.659,290.584,506.917,16.189,182.317,21.722,7.268,0
