zone,date,accident_count,severity,risk_score
Hyderabad,2026-06-11,9,High,58.7
Hyderabad,2026-06-10,1,Low,23.2
Hyderabad,2026-06-09,3,Low,70.2
Hyderabad,2026-06-08,1,Low,31.9
Hyderabad,2026-06-07,5,Medium,93.8
Warangal,2026-06-11,2,Low,43.6
Warangal,2026-06-10,6,Medium,42.6
Warangal,2026-06-09,6,Medium,73.9
Warangal,2026-06-08,4,Medium,23.9
Warangal,2026-06-07,11,High,58.0
Karimnagar,2026-06-11,10,High,63.0
Karimnagar,2026-06-10,2,Low,68.6
Karimnagar,2026-06-09,12,High,35.2
Karimnagar,2026-06-08,6,Medium,56.4
Karimnagar,2026-06-07,2,Low,74.3
Nizamabad,2026-06-11,5,Medium,59.3
Nizamabad,2026-06-10,8,High,64.7
Nizamabad,2026-06-09,6,Medium,67.0
Nizamabad,2026-06-08,3,Low,24.6
Nizamabad,2026-06-07,6,Medium,29.0
Khammam,2026-06-11,12,High,25.8
Khammam,2026-06-10,9,High,68.7
Khammam,2026-06-09,1,Low,21.9
Khammam,2026-06-08,3,Low,27.6
Khammam,2026-06-07,10,High,60.5
Mahbubnagar,2026-06-11,4,Medium,87.8
Mahbubnagar,2026-06-10,6,Medium,37.7
Mahbubnagar,2026-06-09,7,Medium,71.4
Mahbubnagar,2026-06-08,8,High,48.8
Mahbubnagar,2026-06-07,4,Medium,26.3
