zone,date,aqi
Hyderabad,2026-06-11,162
Hyderabad,2026-06-10,190
Hyderabad,2026-06-09,152
Hyderabad,2026-06-08,198
Hyderabad,2026-06-07,96
Warangal,2026-06-11,159
Warangal,2026-06-10,203
Warangal,2026-06-09,175
Warangal,2026-06-08,210
Warangal,2026-06-07,153
Karimnagar,2026-06-11,125
Karimnagar,2026-06-10,98
Karimnagar,2026-06-09,197
Karimnagar,2026-06-08,160
Karimnagar,2026-06-07,198
Nizamabad,2026-06-11,141
Nizamabad,2026-06-10,108
Nizamabad,2026-06-09,187
Nizamabad,2026-06-08,200
Nizamabad,2026-06-07,113
Khammam,2026-06-11,90
Khammam,2026-06-10,177
Khammam,2026-06-09,125
Khammam,2026-06-08,93
Khammam,2026-06-07,92
Mahbubnagar,2026-06-11,152
Mahbubnagar,2026-06-10,147
Mahbubnagar,2026-06-09,178
Mahbubnagar,2026-06-08,100
Mahbubnagar,2026-06-07,92
