zone,date,petrol_availability,diesel_availability,lpg_availability,ev_utilization
Hyderabad,2026-06-11,62.7,58.3,93.9,68.8
Hyderabad,2026-06-10,80.0,61.5,73.2,35.6
Hyderabad,2026-06-09,68.8,65.0,77.1,66.2
Hyderabad,2026-06-08,73.2,51.5,93.8,42.9
Hyderabad,2026-06-07,63.9,71.2,92.0,53.2
Warangal,2026-06-11,68.6,59.2,70.0,71.7
Warangal,2026-06-10,83.1,69.6,97.8,39.4
Warangal,2026-06-09,62.2,78.4,80.2,57.3
Warangal,2026-06-08,62.1,52.7,81.9,82.7
Warangal,2026-06-07,94.0,87.0,72.1,74.9
Karimnagar,2026-06-11,61.9,54.8,75.1,44.8
Karimnagar,2026-06-10,84.0,59.2,66.4,53.8
Karimnagar,2026-06-09,56.1,78.4,79.0,53.7
Karimnagar,2026-06-08,61.5,86.5,91.3,50.0
Karimnagar,2026-06-07,55.8,81.6,69.1,33.1
Nizamabad,2026-06-11,91.6,71.8,69.7,79.6
Nizamabad,2026-06-10,55.8,55.5,77.1,66.2
Nizamabad,2026-06-09,77.3,84.4,97.0,77.8
Nizamabad,2026-06-08,64.4,85.7,83.7,59.3
Nizamabad,2026-06-07,87.1,84.5,66.9,84.9
Khammam,2026-06-11,77.2,52.8,75.1,33.3
Khammam,2026-06-10,75.7,81.3,89.9,60.7
Khammam,2026-06-09,94.7,76.7,89.4,46.8
Khammam,2026-06-08,85.7,56.5,93.7,47.9
Khammam,2026-06-07,89.5,83.2,75.8,80.6
Mahbubnagar,2026-06-11,91.3,89.7,70.6,30.8
Mahbubnagar,2026-06-10,71.6,82.7,79.8,45.2
Mahbubnagar,2026-06-09,71.1,74.7,68.0,51.6
Mahbubnagar,2026-06-08,63.9,76.4,83.9,83.1
Mahbubnagar,2026-06-07,57.7,87.0,84.4,63.1
