zone,date,utilization,electricity_load,sanitation_score,drainage_score
Hyderabad,2026-06-11,84.2,84.4,87.9,83.4
Hyderabad,2026-06-10,90.2,86.5,95.9,93.1
Hyderabad,2026-06-09,70.2,71.9,72.2,71.2
Hyderabad,2026-06-08,63.1,66.0,65.0,64.1
Hyderabad,2026-06-07,79.4,81.8,87.1,74.7
Warangal,2026-06-11,69.6,75.2,70.0,64.1
Warangal,2026-06-10,84.0,86.5,85.1,84.4
Warangal,2026-06-09,77.3,77.5,74.1,80.7
Warangal,2026-06-08,61.3,63.8,58.4,59.4
Warangal,2026-06-07,69.1,71.4,72.3,64.3
Karimnagar,2026-06-11,63.9,65.8,66.6,62.0
Karimnagar,2026-06-10,80.8,85.3,76.5,75.6
Karimnagar,2026-06-09,61.3,58.3,61.0,63.1
Karimnagar,2026-06-08,87.6,83.7,82.8,85.3
Karimnagar,2026-06-07,66.9,63.0,64.3,66.1
Nizamabad,2026-06-11,77.1,75.0,83.4,77.0
Nizamabad,2026-06-10,60.7,66.0,66.1,56.7
Nizamabad,2026-06-09,61.3,63.5,57.0,55.7
Nizamabad,2026-06-08,81.0,85.9,80.4,75.7
Nizamabad,2026-06-07,86.7,86.6,85.6,87.9
Khammam,2026-06-11,60.6,61.4,60.3,58.1
Khammam,2026-06-10,80.9,85.2,78.9,82.3
Khammam,2026-06-09,73.6,77.8,71.9,76.5
Khammam,2026-06-08,89.8,93.1,87.1,89.0
Khammam,2026-06-07,76.8,74.0,74.1,77.5
Mahbubnagar,2026-06-11,84.4,86.2,84.4,85.5
Mahbubnagar,2026-06-10,85.1,87.4,82.8,82.6
Mahbubnagar,2026-06-09,69.4,65.8,73.0,72.4
Mahbubnagar,2026-06-08,74.1,71.1,81.2,72.9
Mahbubnagar,2026-06-07,90.3,95.4,86.9,86.1
