zone,date,ph,turbidity,solids,chloramines,sulfate,conductivity,organic_carbon,hardness,temperature,dissolved_oxygen,potability,water_score,water_quality
Hyderabad,2026-06-11,8.23,2.33,17551,3.77,298.87,434.53,13.57,246.78,23.38,7.96,0,73,Needs Review
Hyderabad,2026-06-10,8.48,4.44,16000,3.66,259.27,354.59,11.74,230.92,23.83,6.96,1,91,Potable
Hyderabad,2026-06-09,7.98,3.95,17701,3.26,262.17,363.76,12.28,163.58,22.58,6.6,0,63,Not Potable
Hyderabad,2026-06-08,6.66,3.22,16467,2.63,301.44,330.52,8.63,154.74,26.89,9.09,0,72,Needs Review
Hyderabad,2026-06-07,7.23,2.04,23989,3.78,223.32,358.86,8.32,244.25,25.61,9.45,0,76,Needs Review
Warangal,2026-06-11,7.76,3.04,18649,2.77,345.72,448.58,8.16,212.9,22.59,7.35,1,84,Potable
Warangal,2026-06-10,7.76,2.77,20315,2.14,325.9,429.42,15.53,185.18,23.92,7.89,1,86,Potable
Warangal,2026-06-09,7.86,4.46,21933,2.91,258.66,440.05,9.41,212.08,25.42,9.04,1,84,Potable
Warangal,2026-06-08,7.01,2.76,19355,4.32,209.47,335.41,10.81,209.44,22.12,8.98,0,70,Needs Review
Warangal,2026-06-07,7.03,2.35,13612,4.73,207.38,371.27,14.3,247.26,26.34,7.99,1,82,Potable
Karimnagar,2026-06-11,7.45,3.29,15508,3.23,200.24,468.27,10.11,220.69,23.6,8.66,0,63,Not Potable
Karimnagar,2026-06-10,6.68,3.56,13401,3.31,225.11,414.13,10.76,234.3,27.22,8.88,0,78,Needs Review
Karimnagar,2026-06-09,7.84,3.41,13306,4.86,228.02,352.99,11.91,158.74,27.92,8.85,0,66,Needs Review
Karimnagar,2026-06-08,7.85,4.97,18861,2.82,213.04,446.14,8.17,211.92,26.9,6.54,0,78,Needs Review
Karimnagar,2026-06-07,8.16,1.87,19717,4.76,204.24,316.41,12.77,187.53,27.15,6.53,1,81,Potable
Nizamabad,2026-06-11,7.33,2.18,14594,4.43,272.81,426.72,15.9,192.44,26.31,7.0,1,84,Potable
Nizamabad,2026-06-10,7.35,3.38,12082,2.92,223.37,477.45,13.31,165.88,26.09,9.35,0,63,Not Potable
Nizamabad,2026-06-09,6.85,4.54,14138,2.26,265.79,362.96,13.25,162.03,25.36,6.95,1,91,Potable
Nizamabad,2026-06-08,8.36,3.27,14666,2.37,211.56,446.89,8.7,240.05,25.13,8.97,1,93,Potable
Nizamabad,2026-06-07,8.27,2.9,17563,4.83,272.9,497.3,10.0,205.01,23.4,9.06,1,87,Potable
Khammam,2026-06-11,8.46,1.55,14337,3.94,321.63,348.43,8.5,230.58,22.51,7.0,1,83,Potable
Khammam,2026-06-10,6.89,3.28,16235,3.79,317.2,374.51,12.64,241.75,26.36,6.64,0,69,Needs Review
Khammam,2026-06-09,8.31,3.69,22278,3.65,288.6,330.09,11.89,245.07,27.31,9.32,0,68,Needs Review
Khammam,2026-06-08,7.53,3.96,17370,3.29,252.91,317.29,9.88,180.51,22.17,8.44,0,70,Needs Review
Khammam,2026-06-07,8.38,2.28,22560,4.04,327.62,483.7,8.86,221.57,27.46,8.85,0,70,Needs Review
Mahbubnagar,2026-06-11,7.04,4.85,14707,3.9,345.79,405.59,8.54,239.52,23.98,9.34,1,91,Potable
Mahbubnagar,2026-06-10,6.7,4.37,21398,2.48,291.3,474.14,15.23,156.55,25.62,7.01,1,95,Potable
Mahbubnagar,2026-06-09,7.09,4.04,21659,2.76,232.61,375.14,10.81,160.43,25.19,9.19,1,83,Potable
Mahbubnagar,2026-06-08,7.05,2.62,15072,3.6,307.59,320.92,12.11,244.6,25.5,6.99,0,68,Needs Review
Mahbubnagar,2026-06-07,7.96,1.55,18444,3.5,224.48,304.52,13.31,206.48,26.85,7.44,0,70,Needs Review
